group,CANALES
ext,CBS,http://brightcove03-f.akamaihd.net/iptv2_1_900@50919?videoId=1370792317001&lineUpId=&pubId=734546207001&playerId=2210144031001&affiliateId=&v=3.4.0&fp=WIN%2016,0,0,305&r=QKDUB&g=VYPYWHJMHSEH
ext,OCHO TV (Mex),http://201.130.193.150:1935/codecsys/smil:ocho.smil/master.m3u8
UniMas.us,UNIMAS,rtmp://podi.hopper.pw:443/live/live_unimas12
ext,MEGA HD (Chi),http://edge-61-cl.edge.mdstrm.com/live/smil:db6a38a0a2bffd96d01965c4d975b9fb/playlist.m3u8?
ext,Naranja Tv,http://ciez45.live.cloud.influxis.com/ciez45/NaranjaTV/chunklist_w1563927943.m3u8?
ext,Canal 28 Chihuahua México,http://web.xnet.mx:1935/xnetn/canal282/playlist.m3u8#MegaIPTVArgentina
ext,Quince TV Zacatecas México,http://live.zuperdns.net:1935/zuperhosting.live.grupob.canal15zacatecas/livestream/playlist.m3u8#MegaIPTVArgentina
ext,SMTV Michoacán México,http://iphone-streaming.ustream.tv/ustreamVideo/13946965/streams/live/playlist.m3u8#MegaIPTVArgentina
ext,SMTV Michoacán México (Opc.2),http://iphone-streaming.ustream.tv/uhls/13946965/streams/live/iphone/playlist.m3u8#MegaIPTVArgentina
ext,Televisión Querétaro México,http://wms.tecnoxia.com:1935/rytqrolive/rytqrolive/playlist.m3u8#MegaIPTVArgentina
ext,Aguascalientes TV6 México,http://xaguascalientesx.api.channel.livestream.com/3.0/playlist.m3u8?MegaIPTVArgentina
ext,MIJAS TV,rtmp://teledifusion.tv:1935/mijastv/mijastvlive
ext,Mexico Travel Channel,http://cdns840stu1010.multistream.net/mtchlive/amlst:live/chunklist_b900000.m3u8
ext,Hogar TV Colombia,http://xhogartvx.api.channel.livestream.com/3.0/playlist.m3u8#megaIPTVArgentina
ext,TVN (Chi),http://tvn-vod.mdstrm.com/liveedge/tvnelemental.smil/chunklist_b981000.m3u8
ext,ANTENA3 HD,http://antena3-aos1-apple-live.adaptive.level3.net/apple/antena3/channel01/antena_3_hd_1548K_1280x720_main.m3u8
LaSexta.sp,LA SEXTA HD,http://antena3-aos1-apple-live.adaptive.level3.net/apple/antena3/channel02/la_sexta_hd_1548K_1280x720_main.m3u8
ext,TELESISTEMA 11 (Dom),http://mek4.mekstream.com/telesistema/smil:telesistema.smil/chunklist_w965232534_b464000.m3u8
ext,TELEFUTURA 23 (Dom),http://ss7.domint.net:1950/tf_str/futu/hasbahca.m3u8
ext,EXTREMADURA TV (Esp),http://corporacionextremena-live.hls.adaptive.level3.net/hls-live/corporacionextremena-channel02/_definst_/live.m3u8
ext,ANDALUCIA TV (Esp),http://iphone-andaluciatelevision.rtva.stream.flumotion.com/rtva/andaluciatelevision-iphone-multi/main.m3u8
ext,TELECANAL (Chi),http://wow2.cl.digitalproserver.com/tcsc/tcscvivo/tcsc.smil/chunklist_w1420799444_b1248000.m3u8
ext,MUSA VISION (Dom),rtmp://joelzaiter1.srfms.com:1963/live/musav.sdp
ext,TV UNI,mms://streaming.uanl.mx/canal53bandaancha/
C5N.ar,C5N,rtmp://c5n.stweb.tv:1935/c5n/live
ext,Canal 5 tigre-tv,http://iphone-streaming.ustream.tv/ustreamVideo/11068260/streams/live/playlist.m3u8
ext,Canal 12,http://iphone-streaming.ustream.tv/ustreamVideo/10923213/streams/live/playlist.m3u8
